Catalog ID,%Inhibition [3H]5-HT transport by SERT,SMILES,DOCK score
ZINC000623997601,63,Brc1ccc(-c2ccnc(N3CC[C@@H](N4CC=CC4)C3)n2)cc1,-49.99
ZINC000305339642,94,Cc1ccc(C#N)cc1OC[C@H](O)CN(C)Cc1ccccc1,-54.44
ZINC000853098204,50,O[C@@H](CN[C@@H]1CCCN(Cc2ccc(F)cc2Cl)C1)c1ccccn1,-52.45
ZINC000623756919,82,Cc1c[nH]nc1CN[C@H]1CCN(c2ccc(Cl)cc2F)C1,-50.76
ZINC000897222313,81,OCCN1CCC[C@@H]2[C@@H]1CCN2c1nc(-c2ccc(F)cc2)cs1,-49.98
ZINC000294308141,56,O[C@H](CN1CCC[C@@H]1[C@H]1CCCO1)c1cc2ccccc2o1,-53.09
ZINC000417864931,92,CCn1cncc1CNC[C@@H]1CCN(c2ccc(Br)cc2)C1,-50.67
ZINC000269761690,54,O[C@]1(CNCc2cnn(-c3ccccc3)c2)CCc2ccccc21,-51.2
ZINC000411862305,87,C[C@H]1CN(CCO)CCN1Cc1cccc(Br)c1Cl,-50.72
ZINC000580533739,54,C[C@H]1CN(c2nn3cc(-c4cccnc4)nc3s2)[C@@H](C)CN1CCO,-51.7
ZINC000634713432,64,C[C@](O)(C[C@H](O)CN[C@H]1C[C@H](c2cccc(C(F)(F)F)c2)C1)C1CC1,-53.93
ZINC000279319971,60,COC(=O)[C@H]1CCN(C[C@H](O)Cc2ccc3ccccc3c2)C1,-52.52
ZINC000348114651,54,O[C@H](Cc1ccc2ccccc2c1)CN1C[C@H](O)C2(CC2)C1,-51.55
