ZINC ID,compound_ID,DOCK score,Global rank,Tc to knowns,Ki (uM),SMILES,Picking method
ZINCpA000006Dcn3,Z4589964339,-100.58,36,0.27027,NH,CC=1C=CC(OCCCC(=O)N2CCC(CC2)(C#N)C(=O)O)=C(Cl)C1,auto
ZINCo9000000v2k6,Z6615022323,-97.58,44,0.25,NH,CC=1OC=NC1C(=O)NNS(=O)(=O)C=2C=CC(C#N)=C(C2)[N+](=O)[O-],auto
ZINCpg00000gQML0,Z6615022338,-97.26,46,0.177215,HB,CC=1C=CC=2CCN(CC2C1Br)C(=O)CN3C=C(C#N)C(=O)NC3=O,auto
ZINCop00000kUi3Y,Z2774580358,-96.91,49,0.465517,NH,CN1C=CN=C1C2CC(CCO2)NS(=O)(=O)C=3C=CC=C(Cl)C3O,auto
ZINCov000006qjGm,Z6615179000,-95.97,54,0.421875,86.03,COC(=O)[C@H](CCSC(F)(F)F)NS(=O)(=O)C=1C=CC=C(Cl)C1O,auto
ZINCpM00000d7IVN,Z2940604667,-95.96,55,0.42029,189.02,CC1=NC(=CS1)C2=CC=C(CNS(=O)(=O)C=3C=C(Cl)C=C(Cl)C3O)O2,auto/manual
ZINCqs000002TbmO,Z6615022370,-94.97,65,0.394366,185.25,CC(NS(=O)(=O)C=1C=NN(C)C1C(=O)O)C2=NC(=CS2)C=3C=CC=CC3,auto/manual
ZINCnA000006ySao,Z6615022372,-94.83,68,0.471698,0.98,CS(=O)CC=1C=CC=C(NS(=O)(=O)C=2C=CC=C(Cl)C2O)C1C,auto/manual
ZINCos000004A5jq,Z6615022373,-94.57,73,0.333333,58.4,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC2CCSC=3C=CC(Cl)=CC23,auto
ZINCqo00000kNqT2,Z6615022375,-94.55,75,0.438356,87.44,CN1N=CC(=C1C(=O)O)S(=O)(=O)NC2CC(C)(C)OC=3C=CC(F)=CC23,auto
ZINCpH000006mtN0,Z6615019960,-94.2,82,0.460317,6.44,CC(CC=1C=CC(NS(=O)(=O)C=2C=C(Cl)C=C(Cl)C2O)=CC1)C(=O)O,manual
ZINCpz000008YxG6,Z6615022384,-94.03,90,0.492063,44.63,OC=1C(Cl)=CC=CC1S(=O)(=O)NC=2C=CC(CN3CCCC3=O)=CC2,auto/manual
