Catalog ID,"% 1H-CP-55,940 displacement (mean) from single point screen","% 1H-CP-55,940 displacement (SEM) from single point screen",rCB1 pKi,SMILES,DOCK score
ZINC000537551486,90.6,0.0,6.14,COC(=O)[C@@H](NC(=O)c1cc(C)n(-c2cccc(F)c2)n1)c1cccs1,-39.13
ZINC000749087800,80.92,0.63,6.0,Cc1c(C(=O)OC[C@H]2CSc3ccccc3O2)cnn1Cc1ccccc1,-43.22
ZINC001341460450,80.28,0.66,6.16,Cn1nc(-c2nnc(C(C)(C)Oc3ccc(Cl)cc3)o2)c2ccccc2c1=O,-44.24
ZINC000518437019,69.08,1.01,5.39,Cc1nc(CC2CC2)oc1-c1nc(Cc2cc3c(cc2Br)OCO3)no1,-42.32
ZINC000538517902,57.08,0.12,,Cc1cc(C(=O)Nc2ccnn2-c2cccc(Cl)c2)nn1[C@H](C)C1CC1,-38.78
ZINC000656437337,56.96,1.76,,O=C(CCc1ccccc1)c1cn(C2(c3ccc(F)cc3)CCOCC2)nn1,-42.0
ZINC000506941038,53.57,1.68,,O=C1Cc2cc(-c3csc(Cc4ccc(F)cc4)n3)cc3c2N1CCC3,-40.84
ZINC000618737218,52.18,14.31,,COc1cccc([C@]2(C)CCN(C(=O)C[C@]34CCCC[C@H]3C4(F)F)C2)c1,-41.7
ZINC000545662443,51.06,2.81,,O=c1ccc(-c2nc(C(F)(F)c3ccc(F)cc3)no2)nn1-c1ccc(F)cc1,-42.2
ZINC000004274872,49.6,1.07,,Cc1onc(-c2ccccc2)c1C(=O)OCc1cn2cc(Cl)ccc2n1,-42.79
ZINC000472208441,47.91,2.73,,O=C1C(=O)N(C23CC4CC(CC(C4)C2)C3)C(=O)N1CC1CCC(C(F)(F)F)CC1,-41.68
ZINC000545813596,47.56,1.48,,COc1cc(OC)cc(-c2nc([C@H](OC)c3ccc(Br)cc3)no2)c1,-37.76
ZINC000521509217,46.71,1.62,,Fc1ccc(C(F)(F)c2noc(-c3cnnn3-c3cccc(F)c3)n2)cc1,-41.68
ZINC000470670889,46.62,0.61,,C[C@H]1OCC[C@@]12CN(C(=O)c1oc3ccccc3c1COc1ccccc1)CCO2,-41.31
ZINC000680685562,44.88,0.54,,CN(C)c1cc(-c2nc(Cc3ccc4c(c3)OCCO4)no2)c2ccccc2n1,-45.74
ZINC000574318525,41.38,2.45,,Cn1cc2c(n1)CCC[C@H]2c1nc(C2(c3cccc(C(F)(F)F)c3)CC2)no1,-41.46
ZINC000531559552,38.03,0.75,,O=c1c2cnn(-c3ccccc3)c2nnn1Cc1cc(Cl)ccc1Cl,-44.87
ZINC000443856513,36.74,15.53,,CC(C)c1ncc(Cl)c(C(=O)N2CC(Cc3ccccc3Cl)C2)n1,-40.04
ZINC000516526701,35.34,1.89,,Cc1ccc(OCCC(=O)N2C[C@H]3CCCN3c3ccccc32)c(C)c1,-39.67
ZINC000851311070,34.0,3.15,,CCOC(=O)CC[C@@H](OC(=O)c1nc(C)n(-c2ccccc2)n1)c1ccccc1,-43.41
ZINC000553141949,33.74,1.99,,O=C(c1ccccc1CS(=O)(=O)c1ccccc1)N1CC[C@H](c2cccc(F)c2)C1,-43.49
