Catalog ID,% displacement of 3HPGE2 at 10 µM,PRESTO-Tango -logIC50,PRESTO-Tango IC50 (nM),PRESTO-Tango Ki (nM),Arrestin-BRET -logIC50,Arrestin-BRET IC50 (nM),Arrestin-BRET  Ki (nM),SMILES,DOCK score
ZINC000080510038,-5.8,,,,,,,CN(C(=O)CSc1nnc(S)s1)c1ccc2ccccc2c1,-66.99
ZINC000169615872,-4.9,,,,,,,O=C(O)CSc1nc2cc(Cl)ccc2n1Cc1ccccc1,-64.43
ZINC000176126532,-5.2,,,,,,,Cc1ccc(CN(Cc2ccco2)C(=O)CSc2n[nH]c(=S)s2)s1,-65.46
ZINC000225484988,-14.0,,,,,,,C[C@@H](CN(C(=O)c1ccn(-c2ccccc2)n1)C1CC1)C(=O)O,-68.1
ZINC000237978528,15.1,,,,,,,O=C(O)CC[C@@H]1CCCN(C(=O)c2nn(-c3ccccc3)c3c2CCC3)C1,-70.32
ZINC000262213292,-13.2,,,,,,,C[C@H](CN(C(=O)CCc1ccc2ccccc2c1)C1CC1)C(=O)O,-68.21
ZINC000263294111,-2.6,,,,,,,Cc1nn(CC(F)(F)F)c(C)c1CC(=O)N([C@H](C)C(=O)O)C1CC1,-69.9
ZINC000263331275,-22.5,,,,,,,C[C@@H]1C[C@@H](C(=O)O)CN(C(=O)C2(c3cccc(C(F)(F)F)c3)CC2)C1,-65.18
ZINC000263545353,-10.6,,,,,,,CO[C@H](C(=O)N([C@H](C)C(=O)O)C1CC1)c1cnn(C)c1,-64.84
ZINC000263561357,-18.1,,,,,,,C[C@@H](CN(C)c1nc(C(F)(F)F)cs1)C(=O)O,-65.99
ZINC000354919126,19.3,,,,,,,CCc1ccc(C(=O)Nc2cccc(-c3nn[nH]n3)c2)c(C)n1,-69.2
ZINC000373547885,17.2,5.46,3510,702.0,,,,CN1C(=O)/C(=C\c2cccc(OCC(=O)O)c2)c2cc(Br)cnc21,-69.73
ZINC000387578385,2.8,,,,,,,O=C(O)c1cc(NS(=O)(=O)c2ccc(Br)cc2F)ccc1O,-66.55
ZINC000431445179,-5.8,,,,,,,C[C@H](CN(Cc1ccccc1)C(=O)COc1ccc(Cl)c2cccnc12)C(=O)O,-65.26
ZINC000431975755,31.8,4.96,">10,000",,,,,O=C(O)Cc1ccc(NC(=O)c2cc(C3CC3)nc3ccc(F)cc32)cc1,-68.06
ZINC000497198662,-12.7,,,,,,,c1ccc(-c2nc(SCc3nn[nH]n3)oc2-c2ccccc2)cc1,-70.75
ZINC000497371650,-17.6,,,,,,,Cc1ccc(-n2c(SCc3nn[nH]n3)nc3ccccc3c2=O)cc1,-76.49
ZINC000504525343,-14.5,,,,,,,O=C(O)CC[C@H](Cc1ccccc1)NS(=O)(=O)c1csc2ccccc21,-69.5
ZINC000542504778,-18.8,,,,,,,NC(=O)c1cc(C(=O)Nc2ccc(CC(=O)O)cc2)nn1-c1ccccc1,-69.48
ZINC000548026888,-10.1,,,,,,,O=C(O)c1ccc([C@H]2CCCN2S(=O)(=O)c2ccccc2-c2ccno2)s1,-66.32
ZINC000578894044,0.8,,,,,,,C[C@@H](c1cn(-c2ccccc2)nn1)N1CCN(C(=O)C(=O)O)CC1,-65.09
ZINC000659231184,-4.0,,,,,,,CN(C(=O)[C@H]1CCC[C@H]1Cc1ccccc1)[C@H]1C[C@@H](C(=O)O)C1,-64.5
ZINC000663026600,-19.0,,,,,,,O=C(O)CCc1cccc(NC(=O)c2c(C(F)(F)F)nc3n2CCCC3)c1,-65.41
ZINC000736344181,13.8,,,,,,,CC(C)(Oc1ccc(F)cc1)C(=O)N1C[C@@H](CC(=O)O)c2ccccc21,-69.33
ZINC000739642212,24.0,5.29,5160,1032.0,,,,O=C(O)C[C@@H]1CN(C(=O)[C@H]2C[C@@]23CCOc2ccccc23)c2ccccc21,-67.37
ZINC000757653839,-10.4,,,,,,,O=C(O)c1cc(NS(=O)(=O)c2cnc3ccsc3c2)ccc1O,-64.76
ZINC000776636520,7.6,,,,,,,O=C(O)CC[C@H](Cc1ccccc1)NS(=O)(=O)/C=C/c1ccccc1Cl,-70.71
ZINC000786823916,31.5,,,,,,,Cn1[nH]nnc1=NC[C@H](C(=O)OCc1ccccc1)c1ccccc1,-66.42
ZINC000794758029,-10.2,,,,,,,O=C(O)[C@@H](NS(=O)(=O)CCc1cccc(Cl)c1)[C@@H](O)c1ccccc1,-70.86
ZINC000833265816,1.0,,,,,,,O=C(O)Cc1ccc(NC(=O)c2cncc(-c3ccccc3)c2)cc1,-70.49
ZINC000860836796,-18.4,,,,,,,C[C@]1(COC(=O)c2ccc(NS(C)(=O)=O)nc2)C[C@@]1(F)Cl,-68.32
ZINC000893158956,-1.1,,,,,,,Cc1cccc2sc(N(C)C[C@@H](C)c3nn[nH]n3)nc21,-65.26
ZINC000903547417,-11.1,,,,,,,CN(c1cccc(CC(=O)O)c1)S(=O)(=O)CC1Cc2ccccc2C1,-72.39
ZINC000906008553,-5.2,,,,,,,C[C@]1(C(=O)O)C[C@@H](NS(=O)(=O)c2cc3cc(Cl)ccc3s2)CCO1,-65.31
ZINC000909457087,-10.7,,,,,,,C[C@H](CN(C(=O)c1cc2c(C(F)F)nn(C)c2s1)C1CC1)C(=O)O,-64.5
ZINC000910474541,-18.4,,,,,,,CN(c1nc2cccc(F)c2s1)[C@H]1C[C@@H](C(=O)O)C1,-65.04
ZINC001131170402,37.7,,,,,,,Cc1c(C(=O)N(C)c2nn[nH]n2)cnn1-c1ccc(Cl)cc1,-65.94
ZINC001263911881,10.8,,,,,,,C[C@H](Sc1ccccc1Cl)C(=O)N1CCC[C@@H](Cc2nn[nH]n2)C1,-65.67
ZINC001334183377,-12.3,,,,,,,O=C(O)CCN(Cc1ccccc1)C(=O)CC1(C(F)(F)F)CC1,-66.98
ZINC001517349464,-8.1,,,,,,,O=C(O)[C@H]1C[C@@H](C(=O)N(Cc2ccsc2)c2ccccc2)C1,-66.5
REAL300019644038,56.2,4.84,">10,000",,,,,N#Cc1ccc(OCc2cccc(C(=O)Nc3cccc(-c4nnn[nH]4)c3)c2)cc1,-57.3
REAL300024335790,0.9,,,,,,,CC(c1nc(-c2cccc(C(F)(F)F)c2)no1)S(=O)(=O)c1nnc[nH]1,-61.76
REAL300001325238,1.2,,,,,,,COc1ccccc1CN(Cc1cccs1)C(=O)Cc1cccc(C(=O)O)c1,-65.95
REAL300003262628,20.0,,,,,,,Cc1ccc(-n2nc(C(=O)Nc3ccc(CC(=O)O)cc3)c3c2CCC3)cc1,-74.47
REAL300003425649,3.6,,,,,,,Cc1cc(C)cc(C2(C(=O)NC(C)c3ncc(C(=O)O)s3)CC2)c1,-62.06
REAL300019629839,-2.6,,,,,,,CN(C(=O)c1cc(N2CCCC2=O)cc(C(F)(F)F)c1)c1nnn[nH]1,-58.68
REAL300008073447,9.0,,,,,,,O=C(O)C1CC2(CC(NS(=O)(=O)C=Cc3ccc(F)cc3)CCS2)C1,-63.99
REAL300005006680,-1.8,,,,,,,Cc1cccc(C2(C(=O)NC3CCSC4(C3)CC(C(=O)O)C4)CC2)c1,-67.37
REAL300013614079,-3.4,,,,,,,O=C(NCc1ccc(C(F)F)cc1)NC[C@H]1CC[C@H](C(=O)O)CC1,-57.99
REAL250003459220,-21.9,,,,,,,O=C(NC1CC(C(=O)O)C1)N[C@@H]1CCC[C@@H]1n1cccn1,-57.39
REAL300001804705,-14.7,,,,,,,CC1(C(=O)O)CCN(C(=O)C(O)c2ccc(Cl)c(Br)c2)C1,-62.58
REAL300002115485,-9.4,,,,,,,O=C(O)[C@H]1C[C@@H](C(=O)N(Cc2ccsc2)c2ccccc2)C1,-63.81
