zincid,ID,compound_ID,SMILES,%Inhibition at 100µM,IC50 (DMSO) [µM],IC50 (ACN) [µM],IC50 (EtOH) [µM],Conc. for aggregation test [µM],smiles,tranche,DOCK score
ZINCoD0000017Vxn,Z1037975544,Z1037975544,CC1=CC(C(=O)NC=2C=CC=C(CN3C=CC=CC3=O)C2)=C(C)O1,,>200,,,200,Cc1cc(C(=O)Nc2cccc(Cn3ccccc3=O)c2)c(C)o1,H24P330,-46.97
ZINCkm000005LW7N,Z1082778674,Z1082778674,O=C(CN1C=2CCCCC2SC1=O)NCC3=CC=CO3,,>200,,,100,O=C(Cn1c2c(sc1=O)CCCC2)NCc1ccco1,H20P160,-44.58
ZINClJ000003UHPl,Z1124054174,Z1124054174,CC=1C=CC(=O)N(CC(=O)N2CC(C)(C)C2C=3C=CC=CC3)N1,,>200,,,100,O=C1O[C@@H](C(=O)Nc2cc(Cl)cc(Br)c2)c2ccccc21,H21P390,-45.43
ZINCoi00000bC7F7,Z1185656111,Z1185656111,CCCCC(=O)N1CSCC1C(=O)NCC(C)(C)N2CCSCC2,,>200,,,300,CCOC[C@@H](C(=O)N[C@@H](C)c1nccs1)n1cc(CN(C)C)nn1,H24P120,-23.18
ZINCow000000zPwJ,Z1261013337,Z1261013337,FC(F)N1C=CN=C1CNC(=O)C2CC32CCOC=4C=CC=CC43,,>200,,,200,O=C(NCc1nccn1C(F)F)[C@H]1C[C@]12CCOc1ccccc12,H24P260,-48.52
ZINClz0000025Uuk,Z1355254448,Z1355254448,COC=1C=CC(Br)=CC1C(=O)C(=O)NC=2C=NC=C(C)C2,,110,,,200,COc1ccc(Br)cc1C(=O)C(=O)Nc1cncc(C)c1,H21P290,-49.45
ZINCpG0000015uAO,Z1357573580,Z1357573580,O=C(CC=1C=CC=NC1)N2CCCCCC2CC(=O)C=3C=CC=CC3,,>200,,,200,O=C(C[C@@H]1CCCCCN1C(=O)Cc1cccnc1)c1ccccc1,H25P360,-55.03
ZINClI000003MxWA,Z1425997900,Z1425997900,CCC(NC=1C=C(C=CN1)C(=O)N)C=2C=CC=CC2Br,,110,,,200,O=C(Nc1cncc(C(F)(F)F)c1)C1(c2cccs2)CC1,H21P380,-47.81
ZINCmd000000N2Cc,Z1449210762,Z1449210762,CN(C1CC1C=2C=CC=CC2)C(=O)C3=CN(C)C(=O)NC3=O,,>200,,,100,CN(C(=O)c1cn(C)c(=O)nc1O)[C@@H]1C[C@H]1c1ccccc1,H22P070,-48.73
ZINCow000000zIAc,Z1552550235,Z1552550235,O=C(NCC1=CC=2CCCC2NC1=O)C(C3CC3)C=4C=CC=CC4,,>200,,,200,O=C(NCc1cc2c(nc1O)CCC2)[C@@H](c1ccccc1)C1CC1,H24P260,-50.56
ZINClq000000a1PG,Z1552964578,Z1552964578,CC=1C=CC=C(C1)C2(CCC2)C(=O)OCC3CNC(=O)C3,,>200,,,200,Cc1cccc(C2(C(=O)OC[C@H]3CNC(=O)C3)CCC2)c1,H21P200,-47.93
ZINCpA000000KHYy,Z1654101470,Z1654101470,FC=1C=C2OCC(NC(=O)C3=CN=CN3C=4C=CC=CC4)C2=C(F)C1,,>200,,,200,O=C(N[C@@H]1COc2cc(F)cc(F)c21)c1cncn1-c1ccccc1,H25P300,-53.42
