compound_ID,Closest MT1/MT2 Known,Analoged,MT1 EC50 (nM),MT2 EC50 (nM),SMILES,DOCK score
ZINC000337650198,CHEMBL123612,No,,,CN(Cc1ccccc1-c1ccccc1)c1ccc(C(N)=O)cn1,-47.07
ZINC000157665999,CHEMBL398017,Yes,12882.49552,Inverse 51.2861383991,COc1ccc(CNc2cccc(-c3nnc[nH]3)c2)cc1,-44.88
ZINC000419113878,CHEMBL494566,Yes,6309.573445,inactive,COC(=O)c1cc(Cn2ccn3c2nc(C)cc3=O)c(C)s1,-43.76
ZINC000338784220,CHEMBL1813323,No,,,CCOc1cc(N(C)Cc2conc2CC)ccc1[N+](=O)[O-],-42.9
ZINC000225749564,CHEMBL1091997,No,,,COC(=O)c1ccc(Br)cc1Cn1cnc([N+](=O)[O-])c1,-42.85
ZINC000433313647,CHEMBL125226,Yes,154.8816619,16.98243652,Cn1c2cccc(NCc3ccc(-c4cc[nH]n4)o3)c2oc1=O,-42.74
ZINC000365020547,CHEMBL115444,No,,,COC(=O)c1nc(N2CCC[C@H]2c2ccc3c(c2)OCO3)sc1C,-42.46
ZINC000159050207,CHEMBL1223128,Yes,1,1.995262315,COC(=O)c1ccc(CSc2nnc(C3CC3)[nH]2)s1,-41.81
ZINC000092585174,CHEMBL1760949,Yes,15.84893192,20.89296131,COC(=O)c1sc(N(C)Cc2ccc(Cl)nc2)nc1Cl,-41.55
ZINC000432154404,CHEMBL1760956,No,234.4228815,100,COC(=O)c1ccc(I)c(Oc2ccnc(C)n2)c1,-41.54
ZINC000151209032,CHEMBL394676,Yes,1995.262315,inactive,COc1ccc(CN(C(=O)[C@H]2C[C@@H]2C)c2ccncc2)cc1,-41.33
ZINC000664088238,CHEMBL435032,Yes,inactive,1412.537545,Cc1cc(=O)n2ccn(CCc3ccc4c(c3)OC(F)(F)O4)c2n1,-41.24
ZINC000171638270,CHEMBL235334,No,,,CN(C[C@H](O)Cn1cccn1)c1ccc(Oc2ccccc2)cc1,-40.95
ZINC000010198221,CHEMBL427516,No,,,O=C1CCc2c1cccc2OCc1cc(=O)n2ccccc2n1,-40.48
ZINC000450350477,CHEMBL237236,No,,,COC(=O)c1csc(CN(C)c2cccc(OC(F)(F)F)c2)n1,-40.32
ZINC000442850041,CHEMBL344242,Yes,12.30268771,0.467735141,COc1ccc2c(c1)N(Cc1ccc(C#N)c(OC)c1)CCO2,-40.21
ZINC000658937719,CHEMBL456505,No,,,CC[C@H](C(=O)N1Cc2ccc(N)cc2C1)c1ccc(OC)cc1,-40.16
ZINC000596287223,CHEMBL342207,No,,,COC(=O)CCc1cccc(Cl)c1OCc1cncs1,-40.05
ZINC000301472854,CHEMBL115444,Yes,933.2543008,100,CN(Cc1ccc2c(c1)OCO2)c1ccnc(Cl)c1,-39.86
ZINC000654452645,CHEMBL7659,No,,,COc1ccc(C(=O)N(C)Cc2ccc(OC(F)(F)F)cc2)o1,-39.85
ZINC000115907437,CHEMBL8278,No,,,CCOC(=O)c1ccc(C)c(Oc2ccncc2)c1,-39.61
ZINC000103090424,CHEMBL394676,No,,,COCCC(=O)N(Cc1ccc(OC)cc1)Cc1ccc(OC)cc1,-39.34
ZINC000576887661,CHEMBL491605,No,79.43282347,52.48074603,CCc1nc(SCc2cccc(C(=O)OC)c2)nc(O)c1C,-39.33
ZINC000096999692,CHEMBL94745,No,,,O=C(OCc1cccnc1)[C@@H]1C[C@@H]1c1ccc(F)cc1,-39.25
ZINC000571896737,CHEMBL396132,No,,,COc1ccc(OCCn2ccn3c2nc(C)cc3=O)cc1,-39.13
ZINC000182731037,CHEMBL3612457,Yes,5011.872336,inactive,COc1cccc2c1CCN(C(=O)c1ccc(F)nc1)C2,-39.05
ZINC000301132336,CHEMBL1223050,No,,,FC(F)Oc1cccc(CNc2ccc3nccnc3n2)c1,-38.93
ZINC000580731466,CHEMBL115444,No,1995.262315,28.18382931,COCCN(Cc1ccc2c(c1)OCO2)c1nc(C(F)(F)F)ns1,-38.89
ZINC000371002965,CHEMBL2314250,No,,,COC(=O)C[C@H]1CN(C(=O)c2cccc(Cl)n2)c2ccccc21,-38.82
ZINC000578312889,CHEMBL1760945,No,,,COC(=O)c1cccc(Cn2ccc(=O)c3sccc32)n1,-38.72
ZINC000613571065,CHEMBL19061,No,,,C=C[C@H](O)C(=O)N1CCCN(Cc2ccc(OC)cc2)C(=O)C1,-38.7
ZINC000353044322,CHEMBL218225,Yes,3311.311215,inactive,COc1ccc(CN(C)C(=O)c2cccc(OC(F)F)c2)cc1O,-38.25
ZINC000596128269,CHEMBL52755,No,,,COC(=O)[C@@H](C)CSc1cc(OC)c([N+](=O)[O-])cc1Cl,-38.13
ZINC000074790767,CHEMBL94745,No,,,COC(=O)c1cc(CSc2cnccn2)c(C)o1,-37.59
ZINC000603324490,CHEMBL3260982,Yes,Inverse 1202.26443462,Inverse 630.95734448,CCOC(=O)c1nc(N(C)C[C@H]2CCC[C@H]2O)ccc1Br,-37.17
ZINC000192937787,CHEMBL3580918,No,,,CCn1c(=O)[nH]nc1SCc1cc(C)c(C(=O)OC)o1,-34.88
ZINC000081089862,CHEMBL1813319,No,,,CN(Cc1cccc(OCC(F)(F)F)c1)c1cnn(C)c1,-34.83
ZINC000663400802,CHEMBL376693,No,,,C[C@H](c1cccc(Cl)c1)N(C)c1cc(=O)n(C)c(=O)n1C,-34.33
