ZINC ID,compound_ID,% bound 3[H]-LSD @ 10uM (mean),% bound 3[H]-LSD @ 10uM (SEM),DOCK score,TC to known,SMILES
ZINCnw00000231TQ,Z2069403727,139.4,11.18,-44.651722,0.34375,C[C@H](c1cccc(F)c1)N1CCN(Cc2cccc(N)n2)CC1
ZINCmr000000vPXW,Z1568365247,128.5,17.06,-47.29385,0.383333,O[C@H]1CCC[C@H]1N1CCN(Cc2cccc3[nH]ccc23)CC1
ZINCnq000000fMNs,Z4004132486,126.7,9.542,-45.521816,0.273973,O=C(C[C@H]1CC2(CCC2)CN1)N1Cc2ccccc2[C@@H](CO)C1
ZINCpf0000014rT1,Z3323706900,126.5,16.39,-44.242149,0.30137,COc1ccccc1CN(C)C(=O)CN1CC[C@@](O)(c2cc[nH]n2)C1
ZINCmw000001DWKy,Z3346367021,125.8,14.39,-44.889809,0.277778,CC(C)[C@H]1CN(Cc2c[nH]nc2-c2cccc(F)c2)CCN1
ZINClo00000kueTm,Z3519098337,120.7,13.58,-45.269108,0.263158,C[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CC(F)(F)CCN1
ZINCkp0000067rEx,Z1827847866,120.5,10.5,-44.802895,0.253731,CCC[C@@H](NC(C)C)C(=O)N[C@@H](C)Cc1cc(C)[nH]n1
ZINCoB000005uBET,Z4196108224,120.5,4.29,-48.654274,0.285714,C[C@@H](NCc1ccccc1-n1cncn1)c1ccc2c(c1)COC2
ZINCoC000000S1Nx,Z3313431995,120,9.233,-48.51511,0.323944,O=C1CCC[C@@H](CCN2CCC[C@@H](c3c[nH]c4ncccc34)C2)O1
ZINCnl0000021WPe,Z375474712,118,19.61,-44.611343,0.323529,O=C(c1ccc([N+](=O)[O-])o1)N1CCCN(C[C@@H]2CCCO2)CC1
ZINCmp00000ebBjq,Z4492609357,116.7,3.473,-46.696644,0.273973,O=C1CCCc2cc(CNC(=O)[C@@H]3C4CCN3CC4)ccc21
ZINCoy000001jXuQ,Z5247692579,115.6,1.218,-48.375187,0.277778,CCCN(C(=O)c1csc(NC(C)=O)n1)C1CCN(C(C)C)CC1
ZINCnj00000kJm9b,Z5247692452,113.6,8.793,-47.400543,0.178571,CC(C)CSCC(=O)N(C)C[C@@H]1C[C@H](F)CN1C(=O)CN(C)C
ZINCkf000004OVd9,Z1068694932,112.9,11.26,-45.857857,0.296875,CN(C)CC(=O)Nc1cccc(-c2ccc(O)nn2)c1
ZINCnA000000AYJc,Z3503542507,112.4,6.13,-44.309723,0.277778,Cc1nn(CCO)cc1CN[C@H](C)Cc1ccc(C(C)C)cc1
ZINCju000002YaDr,Z2330816274,111.8,8.693,-44.193008,0.258065,C[C@@H]1CC(C)(C)CN1CC(=O)Nc1ccc(O)cc1
ZINCne00000ijY7q,Z5247692434,111.6,4.239,-44.668381,0.214286,Cc1c[nH]nc1C(=O)N[C@H](C)[C@@H](CO)NC(=O)C=C1CCCC1
ZINCoq0000001Vd4,Z5247694278,109.8,9.851,-44.521275,0.275362,CC(C)[C@H](CNC(=O)NCCN1CC2(COC2)C1)c1ccccc1
ZINCpt0000001Q3p,Z4057047943,109.5,0.9186,-46.972179,0.2125,CC1(C)CN[C@H](CC(=O)N2CCC[C@@H](c3nnc(S)n3C3CC3)C2)C1
ZINCos000004WxdU,Z4296145141,109.5,3.405,-44.290916,0.246914,CC[C@H]1CCC[C@@H](C(=O)Nc2cccc3[nH]nc(C(=O)OC)c23)N1
ZINCmy000006DIA3,Z2908243514,108.8,18.93,-45.091686,0.292683,CCCN1CCC[C@@H](C(=O)Oc2cc(CON)ccc2Br)C1
ZINCm7000009qbTv,Z5247692348,108.3,12.98,-45.030006,0.277228,CN(CC(=O)NCCCn1cc(C(C)(C)CO)nn1)C1CC1
ZINCny000006HU9i,Z3806765550,108,3.712,-44.243095,0.259259,CCOC(=O)[C@@H]1CCC[C@H]1NCc1cccc(-c2cn[nH]c2)c1
ZINCpd00000wKpQR,Z5247692668,107.5,9.854,-45.520363,0.26506,CCc1c[nH]nc1C(=O)N1[C@H](CNC(=O)[C@H]2CCCN2C)C[C@@H]2C[C@@H]21
ZINCnA000000sUio,Z5247693732,107.5,11.7,-44.890522,0.305556,COC(=O)c1ccc(CN2CCC[C@@H]2[C@@H](O)C(F)(F)F)c(Cl)c1
ZINCnr000000owBx,Z2437647076,106.7,7.099,-44.620941,0.253165,CN[C@H](CC(C)(C)C)C(=O)NCc1cccc(-c2nc[nH]n2)c1
ZINCoz000005k21S,Z5247694223,106.4,23.12,-45.193443,0.322034,CS(=O)(=O)c1ccc(CN2CC[C@@](O)(c3ccccc3Br)C2)cc1
ZINCmf0000015W6l,Z3132872478,106.2,1.962,-45.162323,0.269231,N[C@]12CCC[C@@H]1CN(C(=O)c1ccc3c(c1)C(=O)NCC3)C2
ZINCnh00000cg4hH,Z3059787113,105.6,25.93,-46.549911,0.285714,C[C@H]1CCN(CC(=O)N2C[C@@H](C)c3ccc(S(N)(=O)=O)cc32)C1
ZINCnp00000oUqa4,Z5247692457,105.5,17.26,-45.554424,0.259259,C[C@]1(C(F)(F)F)C[C@@H]1C(=O)N[C@H]1CCN(C(=O)C2=CCSC2)C1
ZINCow000000rkbl,Z1620333270,105.4,15.44,-44.747307,0.338235,COc1c(O)cccc1CN1CCN([C@H](C)c2cccnc2)CC1
ZINCps000004TGbM,Z1568364772,105,14.41,-44.715488,0.348485,O[C@@H]1CCC[C@@H]1N1CCN(Cc2c[nH]nc2-c2ccccc2F)CC1
ZINClt000000Jjqn,Z2781854405,104.9,11.73,-45.472214,0.265823,CN(CC(=O)Nc1ccc([C@@H](O)C(F)(F)F)cc1)C1CC1
ZINCjd00000fzXjz,Z3676146445,104.7,3.93,-44.751144,0.318841,CC1(C)CN[C@@H](C(=O)NCc2cccc(O)c2)CO1
ZINCnz0000006f3q,Z5247692463,104.5,6.433,-44.856743,0.294118,CC[C@H](c1ccccc1)N1CCN(Cc2nc(CO)cs2)CC1
ZINCnx000002nEJc,Z3653272811,104.3,26.08,-46.716591,0.396825,C[C@H]1CN(CC(=O)NCc2cccs2)CCc2ccc(O)cc21
ZINCka000004pZv6,Z2452601821,104.2,5.865,-44.754101,0.271429,COC[C@@H](N)C(=O)N(C)[C@H](C(N)=O)c1cccc(Br)c1
ZINCjh0000032Mcf,Z3017776552,104.1,11.74,-45.394836,0.314286,Cc1n[nH]cc1CCCNC(=O)[C@@H]1CC[C@@H](C)CN1
ZINCkm00000dIKAw,Z2228878177,104,5.957,-45.578804,0.310811,C[C@@H]1CCN(CC(=O)NCc2ccc([C@@H](C)O)cc2)C1
ZINClA000002pvZ8,Z5247693276,103.5,13.73,-45.821224,0.263889,Oc1ncc(Br)cc1CN1CCCN(C2CCCC2)CC1
ZINClj000007KM8v,Z3395063147,103.3,4.728,-45.871754,0.285714,CC(C)Cn1cc(CN2CC[C@@](O)(c3cc[nH]n3)C2)cn1
ZINCoz000003zCnL,Z2444863744,103.3,7.873,-46.195717,0.313433,O[C@H](CN[C@@H]1c2ccccc2C[C@@H]1O)c1ccccc1C(F)(F)F
ZINCkw000004muaW,Z3323299127,102.8,8.248,-45.072502,0.276923,FC1(F)CCCC[C@@H]1CN1CCO[C@@H](c2cc[nH]n2)C1
ZINCnu000004oCfU,Z5247692514,101.8,10.32,-45.886803,0.255814,C=CCCN1CC[C@@H](N(CCC)C(=O)c2n[nH]c3c2CCC3)C1
ZINCj5000002dXKw,Z3323706860,101.3,6.632,-48.551971,0.298507,C[C@H](C(=O)NC1CC1)N1CC[C@@](O)(c2cc[nH]n2)C1
ZINCnt0000010Pjt,Z2950993610,101.3,8.207,-47.399178,0.301205,COC(=O)c1ccc(CN2CCC[C@@H]2[C@@H](C)O)c2ncccc12
