compound_ID,% sigma2 binding at 1 uM,% sigma1 binding at 1 uM,sigma2 pKi,sigma1 pKi,SMILES,DOCK score
ZINC000450573233,3.57,33.63,8.37,6.89,C[C@@H](c1ccccc1)[C@@H](O)CN1CCC(c2c[nH]c3ncccc23)CC1,-57.25
ZINC000895657866,2.97,73.04,7.67,6.0,CC(C)(NCc1ccc2c(c1)OCCO2)[C@H](O)c1ccccc1,-55.35
ZINC001170548029,8.4,78.46,7.65,6.14,Fc1ccccc1[C@H]1CCN(CC#Cc2cccc(Cl)c2)C1,-57.11
ZINC000533478938,2.66,70.62,7.46,5.83,C[C@@H](C(=O)N(C)Cc1cccc(F)c1)N1CC=C(c2c[nH]c3ncccc23)CC1,-55.38
ZINC000921927365,12.54,68.85,7.17,5.93,O[C@@]1(CNCc2cccc3c2OCC3)CCc2ccccc21,-59.01
ZINC000548355486,0.36,1.05,8.62,8.31,CC1CCC(O)(CN2CC(Cc3ccc(F)c(F)c3)C2)CC1,-56.68
ZINC000348332392,5.16,-0.82,7.47,8.54,Cc1ccc([C@H]2CCN(CC3(O)CCC3)C2)c(C)c1,-59.07
ZINC001254761628,1.13,11.38,8.33,7.28,O[C@@H](COCc1ccccc1F)CN1CC(Cc2ccccc2C(F)(F)F)C1,-55.58
ZINC000544117725,0.0,5.01,8.0,7.79,Cc1ccc(CCC2CCN(C(=O)CN3C[C@@H]4CC[C@@H](O)[C@H]4C3)CC2)cc1,-57.53
ZINC000170908795,0.89,4.78,8.17,7.49,N/C(=N\Cc1ccc(F)cc1Br)NCC1CCC1,-55.84
ZINC000656714762,9.29,-0.17,7.17,8.34,Cc1ccc(CC2CN(CC3(O)CCSCC3)C2)cc1,-58.68
ZINC001237901728,4.52,-0.76,7.57,8.8,Fc1c(Cl)c(Br)ccc1CN1CCN(C[C@@H]2CCCO2)CC1,-56.03
ZINC001460312963,8.03,-0.74,8.28,8.77,CC[C@@H](CO)N1CCC(CCc2ccc(F)cc2F)CC1,-55.99
ZINC000188287346,0.94,8.11,,,C[C@H](Cn1ncc2ccccc2c1=O)N[C@H]1CC[C@H](Cc2ccccc2)C1,-59.56
